sex,outcome,country,calendar.year.admit,calendar.month.admit,agegp10,lower.age.bound,upper.age.bound,icu_ever,count
Male,discharge,Poland,2020,2,0-9,0,9,TRUE,5
Male,discharge,Poland,2020,2,10-19,10,19,FALSE,5
Male,discharge,Poland,2020,2,10-19,10,19,TRUE,2
Male,discharge,Poland,2020,2,20-29,20,29,FALSE,4
Male,discharge,Poland,2020,2,20-29,20,29,TRUE,6
Male,discharge,Poland,2020,2,30-39,30,39,FALSE,1
Male,discharge,Poland,2020,2,30-39,30,39,TRUE,5
Male,discharge,Poland,2020,2,40-49,40,49,FALSE,3
Male,discharge,Poland,2020,2,40-49,40,49,TRUE,2
Male,discharge,Poland,2020,2,50-59,50,59,FALSE,2
Male,discharge,Poland,2020,2,50-59,50,59,TRUE,2
Male,discharge,Poland,2020,2,60-69,60,69,FALSE,4
Male,discharge,Poland,2020,2,60-69,60,69,TRUE,7
Male,discharge,Poland,2020,2,70-79,70,79,FALSE,3
Male,discharge,Poland,2020,2,70-79,70,79,TRUE,2
Male,discharge,Poland,2020,2,80-89,80,89,FALSE,4
Male,discharge,Poland,2020,2,80-89,80,89,TRUE,5
Male,discharge,Poland,2020,2,90+,90,119,FALSE,7
Male,discharge,Poland,2020,2,90+,90,119,TRUE,11
Male,discharge,Poland,2020,3,0-9,0,9,FALSE,4
Male,discharge,Poland,2020,3,0-9,0,9,TRUE,4
Male,discharge,Poland,2020,3,10-19,10,19,FALSE,9
Male,discharge,Poland,2020,3,10-19,10,19,TRUE,6
Male,discharge,Poland,2020,3,20-29,20,29,FALSE,4
Male,discharge,Poland,2020,3,20-29,20,29,TRUE,5
Male,discharge,Poland,2020,3,30-39,30,39,FALSE,3
Male,discharge,Poland,2020,3,30-39,30,39,TRUE,2
Male,discharge,Poland,2020,3,40-49,40,49,FALSE,2
Male,discharge,Poland,2020,3,40-49,40,49,TRUE,4
Male,discharge,Poland,2020,3,50-59,50,59,FALSE,8
Male,discharge,Poland,2020,3,50-59,50,59,TRUE,5
Male,discharge,Poland,2020,3,60-69,60,69,FALSE,6
Male,discharge,Poland,2020,3,60-69,60,69,TRUE,5
Male,discharge,Poland,2020,3,70-79,70,79,FALSE,9
Male,discharge,Poland,2020,3,70-79,70,79,TRUE,2
Male,discharge,Poland,2020,3,80-89,80,89,FALSE,8
Male,discharge,Poland,2020,3,80-89,80,89,TRUE,6
Male,discharge,Poland,2020,3,90+,90,119,FALSE,5
Male,discharge,Poland,2020,3,90+,90,119,TRUE,14
Male,discharge,Poland,2020,4,0-9,0,9,FALSE,4
Male,discharge,Poland,2020,4,0-9,0,9,TRUE,6
Male,discharge,Poland,2020,4,10-19,10,19,FALSE,5
Male,discharge,Poland,2020,4,10-19,10,19,TRUE,5
Male,discharge,Poland,2020,4,20-29,20,29,FALSE,4
Male,discharge,Poland,2020,4,20-29,20,29,TRUE,5
Male,discharge,Poland,2020,4,30-39,30,39,FALSE,4
Male,discharge,Poland,2020,4,30-39,30,39,TRUE,4
Male,discharge,Poland,2020,4,40-49,40,49,FALSE,11
Male,discharge,Poland,2020,4,40-49,40,49,TRUE,6
Male,discharge,Poland,2020,4,50-59,50,59,FALSE,2
Male,discharge,Poland,2020,4,50-59,50,59,TRUE,5
Male,discharge,Poland,2020,4,60-69,60,69,FALSE,3
Male,discharge,Poland,2020,4,60-69,60,69,TRUE,5
Male,discharge,Poland,2020,4,70-79,70,79,FALSE,9
Male,discharge,Poland,2020,4,70-79,70,79,TRUE,2
Male,discharge,Poland,2020,4,80-89,80,89,FALSE,8
Male,discharge,Poland,2020,4,80-89,80,89,TRUE,5
Male,discharge,Poland,2020,4,90+,90,119,FALSE,8
Male,discharge,Poland,2020,4,90+,90,119,TRUE,7
Male,discharge,Poland,2020,5,0-9,0,9,FALSE,4
Male,discharge,Poland,2020,5,0-9,0,9,TRUE,2
Male,discharge,Poland,2020,5,10-19,10,19,FALSE,4
Male,discharge,Poland,2020,5,10-19,10,19,TRUE,4
Male,discharge,Poland,2020,5,20-29,20,29,FALSE,9
Male,discharge,Poland,2020,5,20-29,20,29,TRUE,1
Male,discharge,Poland,2020,5,30-39,30,39,FALSE,3
Male,discharge,Poland,2020,5,30-39,30,39,TRUE,6
Male,discharge,Poland,2020,5,40-49,40,49,FALSE,6
Male,discharge,Poland,2020,5,40-49,40,49,TRUE,6
Male,discharge,Poland,2020,5,50-59,50,59,FALSE,3
Male,discharge,Poland,2020,5,50-59,50,59,TRUE,7
Male,discharge,Poland,2020,5,60-69,60,69,FALSE,6
Male,discharge,Poland,2020,5,60-69,60,69,TRUE,6
Male,discharge,Poland,2020,5,70-79,70,79,FALSE,8
Male,discharge,Poland,2020,5,70-79,70,79,TRUE,4
Male,discharge,Poland,2020,5,80-89,80,89,FALSE,4
Male,discharge,Poland,2020,5,80-89,80,89,TRUE,5
Male,discharge,Poland,2020,5,90+,90,119,FALSE,6
Male,discharge,Poland,2020,5,90+,90,119,TRUE,6
Male,discharge,Poland,2020,6,0-9,0,9,FALSE,5
Male,discharge,Poland,2020,6,0-9,0,9,TRUE,8
Male,discharge,Poland,2020,6,10-19,10,19,FALSE,5
Male,discharge,Poland,2020,6,10-19,10,19,TRUE,3
Male,discharge,Poland,2020,6,20-29,20,29,FALSE,5
Male,discharge,Poland,2020,6,20-29,20,29,TRUE,8
Male,discharge,Poland,2020,6,30-39,30,39,FALSE,5
Male,discharge,Poland,2020,6,30-39,30,39,TRUE,8
Male,discharge,Poland,2020,6,40-49,40,49,FALSE,8
Male,discharge,Poland,2020,6,40-49,40,49,TRUE,2
Male,discharge,Poland,2020,6,50-59,50,59,FALSE,5
Male,discharge,Poland,2020,6,50-59,50,59,TRUE,5
Male,discharge,Poland,2020,6,60-69,60,69,FALSE,5
Male,discharge,Poland,2020,6,60-69,60,69,TRUE,7
Male,discharge,Poland,2020,6,70-79,70,79,FALSE,5
Male,discharge,Poland,2020,6,70-79,70,79,TRUE,4
Male,discharge,Poland,2020,6,80-89,80,89,FALSE,6
Male,discharge,Poland,2020,6,80-89,80,89,TRUE,8
Male,discharge,Poland,2020,6,90+,90,119,FALSE,10
Male,discharge,Poland,2020,6,90+,90,119,TRUE,6
Male,discharge,Poland,2020,7,0-9,0,9,FALSE,1
Male,discharge,Poland,2020,7,0-9,0,9,TRUE,1
Male,discharge,Poland,2020,7,10-19,10,19,FALSE,2
Male,discharge,Poland,2020,7,10-19,10,19,TRUE,2
Male,discharge,Poland,2020,7,20-29,20,29,FALSE,9
Male,discharge,Poland,2020,7,20-29,20,29,TRUE,4
Male,discharge,Poland,2020,7,30-39,30,39,FALSE,5
Male,discharge,Poland,2020,7,30-39,30,39,TRUE,6
Male,discharge,Poland,2020,7,40-49,40,49,FALSE,2
Male,discharge,Poland,2020,7,40-49,40,49,TRUE,3
Male,discharge,Poland,2020,7,50-59,50,59,FALSE,7
Male,discharge,Poland,2020,7,50-59,50,59,TRUE,2
Male,discharge,Poland,2020,7,60-69,60,69,FALSE,4
Male,discharge,Poland,2020,7,60-69,60,69,TRUE,3
Male,discharge,Poland,2020,7,70-79,70,79,FALSE,3
Male,discharge,Poland,2020,7,70-79,70,79,TRUE,4
Male,discharge,Poland,2020,7,80-89,80,89,FALSE,5
Male,discharge,Poland,2020,7,80-89,80,89,TRUE,2
Male,discharge,Poland,2020,7,90+,90,119,FALSE,5
Male,discharge,Poland,2020,7,90+,90,119,TRUE,5
Male,discharge,Poland,2020,8,0-9,0,9,FALSE,1
Male,discharge,Poland,2020,8,0-9,0,9,TRUE,2
Male,discharge,Poland,2020,8,10-19,10,19,TRUE,2
Male,discharge,Poland,2020,8,20-29,20,29,FALSE,2
Male,discharge,Poland,2020,8,20-29,20,29,TRUE,2
Male,discharge,Poland,2020,8,30-39,30,39,FALSE,2
Male,discharge,Poland,2020,8,40-49,40,49,FALSE,2
Male,discharge,Poland,2020,8,60-69,60,69,TRUE,1
Male,discharge,Poland,2020,8,70-79,70,79,TRUE,1
Male,discharge,Poland,2020,8,80-89,80,89,TRUE,2
Male,discharge,Poland,2020,8,90+,90,119,FALSE,2
Male,discharge,Poland,2020,8,90+,90,119,TRUE,3
Male,discharge,Poland,2020,9,50-59,50,59,FALSE,1
Male,discharge,Poland,2020,9,80-89,80,89,FALSE,1
Male,discharge,Portugal,NA,NA,0-9,0,9,TRUE,1
Male,discharge,Portugal,NA,NA,10-19,10,19,FALSE,1
Male,discharge,Portugal,NA,NA,20-29,20,29,FALSE,3
Male,discharge,Portugal,NA,NA,20-29,20,29,TRUE,1
Male,discharge,Portugal,NA,NA,40-49,40,49,TRUE,2
Male,discharge,Portugal,NA,NA,70-79,70,79,FALSE,1
Male,discharge,Portugal,NA,NA,70-79,70,79,TRUE,2
Male,discharge,Portugal,NA,NA,80-89,80,89,TRUE,3
Male,discharge,Portugal,NA,NA,90+,90,119,FALSE,3
Male,discharge,Portugal,NA,NA,90+,90,119,TRUE,1
Male,discharge,Portugal,2020,1,0-9,0,9,FALSE,2
Male,discharge,Portugal,2020,1,0-9,0,9,TRUE,1
Male,discharge,Portugal,2020,1,20-29,20,29,FALSE,1
Male,discharge,Portugal,2020,1,20-29,20,29,TRUE,3
Male,discharge,Portugal,2020,1,30-39,30,39,FALSE,1
Male,discharge,Portugal,2020,1,40-49,40,49,FALSE,2
Male,discharge,Portugal,2020,1,40-49,40,49,TRUE,1
Male,discharge,Portugal,2020,1,50-59,50,59,TRUE,1
Male,discharge,Portugal,2020,1,60-69,60,69,FALSE,1
Male,discharge,Portugal,2020,1,60-69,60,69,TRUE,2
Male,discharge,Portugal,2020,1,70-79,70,79,FALSE,2
Male,discharge,Portugal,2020,1,90+,90,119,FALSE,1
Male,discharge,Portugal,2020,1,90+,90,119,TRUE,5
Male,discharge,Portugal,2020,2,0-9,0,9,FALSE,2
Male,discharge,Portugal,2020,2,0-9,0,9,TRUE,5
Male,discharge,Portugal,2020,2,10-19,10,19,FALSE,2
Male,discharge,Portugal,2020,2,10-19,10,19,TRUE,6
Male,discharge,Portugal,2020,2,20-29,20,29,FALSE,6
Male,discharge,Portugal,2020,2,20-29,20,29,TRUE,6
Male,discharge,Portugal,2020,2,30-39,30,39,FALSE,2
Male,discharge,Portugal,2020,2,30-39,30,39,TRUE,6
Male,discharge,Portugal,2020,2,40-49,40,49,FALSE,5
Male,discharge,Portugal,2020,2,40-49,40,49,TRUE,4
Male,discharge,Portugal,2020,2,50-59,50,59,FALSE,2
Male,discharge,Portugal,2020,2,50-59,50,59,TRUE,3
Male,discharge,Portugal,2020,2,60-69,60,69,FALSE,4
Male,discharge,Portugal,2020,2,60-69,60,69,TRUE,3
Male,discharge,Portugal,2020,2,70-79,70,79,FALSE,2
Male,discharge,Portugal,2020,2,70-79,70,79,TRUE,1
Male,discharge,Portugal,2020,2,80-89,80,89,FALSE,3
Male,discharge,Portugal,2020,2,80-89,80,89,TRUE,3
Male,discharge,Portugal,2020,2,90+,90,119,FALSE,4
Male,discharge,Portugal,2020,2,90+,90,119,TRUE,6
Male,discharge,Portugal,2020,3,0-9,0,9,FALSE,8
Male,discharge,Portugal,2020,3,0-9,0,9,TRUE,2
Male,discharge,Portugal,2020,3,10-19,10,19,FALSE,4
Male,discharge,Portugal,2020,3,10-19,10,19,TRUE,6
Male,discharge,Portugal,2020,3,20-29,20,29,FALSE,11
Male,discharge,Portugal,2020,3,20-29,20,29,TRUE,7
Male,discharge,Portugal,2020,3,30-39,30,39,FALSE,6
Male,discharge,Portugal,2020,3,30-39,30,39,TRUE,10
Male,discharge,Portugal,2020,3,40-49,40,49,FALSE,6
Male,discharge,Portugal,2020,3,40-49,40,49,TRUE,5
Male,discharge,Portugal,2020,3,50-59,50,59,FALSE,5
Male,discharge,Portugal,2020,3,50-59,50,59,TRUE,6
Male,discharge,Portugal,2020,3,60-69,60,69,FALSE,3
Male,discharge,Portugal,2020,3,60-69,60,69,TRUE,4
Male,discharge,Portugal,2020,3,70-79,70,79,FALSE,10
Male,discharge,Portugal,2020,3,70-79,70,79,TRUE,6
Male,discharge,Portugal,2020,3,80-89,80,89,FALSE,3
Male,discharge,Portugal,2020,3,80-89,80,89,TRUE,7
Male,discharge,Portugal,2020,3,90+,90,119,FALSE,9
Male,discharge,Portugal,2020,3,90+,90,119,TRUE,5
Male,discharge,Portugal,2020,4,0-9,0,9,FALSE,8
Male,discharge,Portugal,2020,4,0-9,0,9,TRUE,6
Male,discharge,Portugal,2020,4,10-19,10,19,FALSE,4
Male,discharge,Portugal,2020,4,10-19,10,19,TRUE,6
Male,discharge,Portugal,2020,4,20-29,20,29,FALSE,4
Male,discharge,Portugal,2020,4,20-29,20,29,TRUE,5
Male,discharge,Portugal,2020,4,30-39,30,39,FALSE,2
Male,discharge,Portugal,2020,4,30-39,30,39,TRUE,3
Male,discharge,Portugal,2020,4,40-49,40,49,FALSE,6
Male,discharge,Portugal,2020,4,40-49,40,49,TRUE,5
Male,discharge,Portugal,2020,4,50-59,50,59,FALSE,5
Male,discharge,Portugal,2020,4,50-59,50,59,TRUE,10
Male,discharge,Portugal,2020,4,60-69,60,69,FALSE,5
Male,discharge,Portugal,2020,4,60-69,60,69,TRUE,6
Male,discharge,Portugal,2020,4,70-79,70,79,FALSE,6
Male,discharge,Portugal,2020,4,70-79,70,79,TRUE,5
Male,discharge,Portugal,2020,4,80-89,80,89,FALSE,1
Male,discharge,Portugal,2020,4,80-89,80,89,TRUE,10
Male,discharge,Portugal,2020,4,90+,90,119,FALSE,4
Male,discharge,Portugal,2020,4,90+,90,119,TRUE,5
Male,discharge,Portugal,2020,5,0-9,0,9,FALSE,8
Male,discharge,Portugal,2020,5,0-9,0,9,TRUE,6
Male,discharge,Portugal,2020,5,10-19,10,19,FALSE,10
Male,discharge,Portugal,2020,5,10-19,10,19,TRUE,8
Male,discharge,Portugal,2020,5,20-29,20,29,FALSE,5
Male,discharge,Portugal,2020,5,20-29,20,29,TRUE,5
Male,discharge,Portugal,2020,5,30-39,30,39,FALSE,7
Male,discharge,Portugal,2020,5,30-39,30,39,TRUE,8
Male,discharge,Portugal,2020,5,40-49,40,49,FALSE,9
Male,discharge,Portugal,2020,5,40-49,40,49,TRUE,5
Male,discharge,Portugal,2020,5,50-59,50,59,FALSE,3
Male,discharge,Portugal,2020,5,50-59,50,59,TRUE,9
Male,discharge,Portugal,2020,5,60-69,60,69,FALSE,7
Male,discharge,Portugal,2020,5,60-69,60,69,TRUE,7
Male,discharge,Portugal,2020,5,70-79,70,79,FALSE,3
Male,discharge,Portugal,2020,5,70-79,70,79,TRUE,14
Male,discharge,Portugal,2020,5,80-89,80,89,FALSE,6
Male,discharge,Portugal,2020,5,80-89,80,89,TRUE,7
Male,discharge,Portugal,2020,5,90+,90,119,FALSE,13
Male,discharge,Portugal,2020,5,90+,90,119,TRUE,16
Male,discharge,Portugal,2020,6,0-9,0,9,FALSE,2
Male,discharge,Portugal,2020,6,0-9,0,9,TRUE,8
Male,discharge,Portugal,2020,6,10-19,10,19,FALSE,8
Male,discharge,Portugal,2020,6,10-19,10,19,TRUE,7
Male,discharge,Portugal,2020,6,20-29,20,29,FALSE,5
Male,discharge,Portugal,2020,6,20-29,20,29,TRUE,1
Male,discharge,Portugal,2020,6,30-39,30,39,FALSE,4
Male,discharge,Portugal,2020,6,30-39,30,39,TRUE,7
Male,discharge,Portugal,2020,6,40-49,40,49,FALSE,4
Male,discharge,Portugal,2020,6,40-49,40,49,TRUE,3
Male,discharge,Portugal,2020,6,50-59,50,59,FALSE,3
Male,discharge,Portugal,2020,6,50-59,50,59,TRUE,3
Male,discharge,Portugal,2020,6,60-69,60,69,FALSE,4
Male,discharge,Portugal,2020,6,60-69,60,69,TRUE,6
Male,discharge,Portugal,2020,6,70-79,70,79,FALSE,7
Male,discharge,Portugal,2020,6,70-79,70,79,TRUE,9
Male,discharge,Portugal,2020,6,80-89,80,89,FALSE,5
Male,discharge,Portugal,2020,6,80-89,80,89,TRUE,2
Male,discharge,Portugal,2020,6,90+,90,119,FALSE,3
Male,discharge,Portugal,2020,6,90+,90,119,TRUE,8
Male,discharge,Portugal,2020,7,0-9,0,9,FALSE,1
Male,discharge,Portugal,2020,7,0-9,0,9,TRUE,2
Male,discharge,Portugal,2020,7,10-19,10,19,FALSE,3
Male,discharge,Portugal,2020,7,20-29,20,29,FALSE,2
Male,discharge,Portugal,2020,7,20-29,20,29,TRUE,4
Male,discharge,Portugal,2020,7,30-39,30,39,FALSE,3
Male,discharge,Portugal,2020,7,40-49,40,49,FALSE,3
Male,discharge,Portugal,2020,7,40-49,40,49,TRUE,1
Male,discharge,Portugal,2020,7,50-59,50,59,FALSE,2
Male,discharge,Portugal,2020,7,50-59,50,59,TRUE,2
Male,discharge,Portugal,2020,7,60-69,60,69,FALSE,2
Male,discharge,Portugal,2020,7,60-69,60,69,TRUE,1
Male,discharge,Portugal,2020,7,70-79,70,79,FALSE,2
Male,discharge,Portugal,2020,7,70-79,70,79,TRUE,3
Male,discharge,Portugal,2020,7,80-89,80,89,FALSE,5
Male,discharge,Portugal,2020,7,80-89,80,89,TRUE,1
Male,discharge,Portugal,2020,7,90+,90,119,FALSE,2
Male,discharge,Portugal,2020,7,90+,90,119,TRUE,2
Male,discharge,Portugal,2020,8,0-9,0,9,FALSE,1
Male,discharge,Portugal,2020,8,10-19,10,19,FALSE,2
Male,discharge,Portugal,2020,8,20-29,20,29,FALSE,1
Male,discharge,Portugal,2020,8,40-49,40,49,FALSE,2
Male,discharge,Portugal,2020,8,40-49,40,49,TRUE,1
Male,discharge,Portugal,2020,8,50-59,50,59,FALSE,2
Male,discharge,Portugal,2020,8,70-79,70,79,FALSE,1
Male,discharge,Portugal,2020,8,90+,90,119,FALSE,2
Male,discharge,Portugal,2020,9,0-9,0,9,FALSE,1
Male,discharge,Portugal,2020,9,90+,90,119,FALSE,1
Male,discharge,Romania,NA,NA,0-9,0,9,TRUE,1
Male,discharge,Romania,NA,NA,10-19,10,19,FALSE,2
Male,discharge,Romania,NA,NA,10-19,10,19,TRUE,2
Male,discharge,Romania,NA,NA,30-39,30,39,FALSE,2
Male,discharge,Romania,NA,NA,30-39,30,39,TRUE,2
Male,discharge,Romania,NA,NA,40-49,40,49,FALSE,2
Male,discharge,Romania,NA,NA,40-49,40,49,TRUE,1
Male,discharge,Romania,NA,NA,70-79,70,79,FALSE,2
Male,discharge,Romania,NA,NA,70-79,70,79,TRUE,2
Male,discharge,Romania,NA,NA,80-89,80,89,FALSE,1
Male,discharge,Romania,NA,NA,90+,90,119,FALSE,1
Male,discharge,Romania,2019,12,60-69,60,69,FALSE,1
Male,discharge,Romania,2020,1,0-9,0,9,TRUE,2
Male,discharge,Romania,2020,1,10-19,10,19,TRUE,2
Male,discharge,Romania,2020,1,20-29,20,29,FALSE,1
Male,discharge,Romania,2020,1,20-29,20,29,TRUE,3
Male,discharge,Romania,2020,1,30-39,30,39,TRUE,5
Male,discharge,Romania,2020,1,40-49,40,49,TRUE,1
Male,discharge,Romania,2020,1,50-59,50,59,FALSE,1
Male,discharge,Romania,2020,1,50-59,50,59,TRUE,2
Male,discharge,Romania,2020,1,60-69,60,69,FALSE,1
Male,discharge,Romania,2020,1,70-79,70,79,FALSE,1
Male,discharge,Romania,2020,1,80-89,80,89,FALSE,1
Male,discharge,Romania,2020,1,90+,90,119,FALSE,1
Male,discharge,Romania,2020,1,90+,90,119,TRUE,3
Male,discharge,Romania,2020,2,0-9,0,9,FALSE,6
Male,discharge,Romania,2020,2,0-9,0,9,TRUE,1
Male,discharge,Romania,2020,2,10-19,10,19,FALSE,4
Male,discharge,Romania,2020,2,10-19,10,19,TRUE,3
Male,discharge,Romania,2020,2,20-29,20,29,FALSE,3
Male,discharge,Romania,2020,2,20-29,20,29,TRUE,7
Male,discharge,Romania,2020,2,30-39,30,39,FALSE,4
Male,discharge,Romania,2020,2,30-39,30,39,TRUE,5
Male,discharge,Romania,2020,2,40-49,40,49,TRUE,3
Male,discharge,Romania,2020,2,50-59,50,59,FALSE,2
Male,discharge,Romania,2020,2,50-59,50,59,TRUE,2
Male,discharge,Romania,2020,2,60-69,60,69,FALSE,4
Male,discharge,Romania,2020,2,60-69,60,69,TRUE,2
Male,discharge,Romania,2020,2,70-79,70,79,FALSE,3
Male,discharge,Romania,2020,2,70-79,70,79,TRUE,2
Male,discharge,Romania,2020,2,80-89,80,89,FALSE,4
Male,discharge,Romania,2020,2,90+,90,119,FALSE,6
Male,discharge,Romania,2020,2,90+,90,119,TRUE,5
Male,discharge,Romania,2020,3,0-9,0,9,FALSE,6
Male,discharge,Romania,2020,3,0-9,0,9,TRUE,3
Male,discharge,Romania,2020,3,10-19,10,19,FALSE,7
Male,discharge,Romania,2020,3,10-19,10,19,TRUE,5
Male,discharge,Romania,2020,3,20-29,20,29,FALSE,7
Male,discharge,Romania,2020,3,20-29,20,29,TRUE,8
Male,discharge,Romania,2020,3,30-39,30,39,FALSE,8
Male,discharge,Romania,2020,3,30-39,30,39,TRUE,9
Male,discharge,Romania,2020,3,40-49,40,49,FALSE,4
Male,discharge,Romania,2020,3,40-49,40,49,TRUE,6
Male,discharge,Romania,2020,3,50-59,50,59,FALSE,2
Male,discharge,Romania,2020,3,50-59,50,59,TRUE,3
Male,discharge,Romania,2020,3,60-69,60,69,FALSE,5
Male,discharge,Romania,2020,3,60-69,60,69,TRUE,10
Male,discharge,Romania,2020,3,70-79,70,79,FALSE,3
Male,discharge,Romania,2020,3,70-79,70,79,TRUE,2
Male,discharge,Romania,2020,3,80-89,80,89,FALSE,6
Male,discharge,Romania,2020,3,80-89,80,89,TRUE,1
Male,discharge,Romania,2020,3,90+,90,119,FALSE,5
Male,discharge,Romania,2020,3,90+,90,119,TRUE,4
Male,discharge,Romania,2020,4,0-9,0,9,FALSE,4
Male,discharge,Romania,2020,4,0-9,0,9,TRUE,5
Male,discharge,Romania,2020,4,10-19,10,19,FALSE,3
Male,discharge,Romania,2020,4,10-19,10,19,TRUE,12
Male,discharge,Romania,2020,4,20-29,20,29,FALSE,5
Male,discharge,Romania,2020,4,20-29,20,29,TRUE,5
Male,discharge,Romania,2020,4,30-39,30,39,FALSE,8
Male,discharge,Romania,2020,4,30-39,30,39,TRUE,5
Male,discharge,Romania,2020,4,40-49,40,49,FALSE,4
Male,discharge,Romania,2020,4,40-49,40,49,TRUE,6
Male,discharge,Romania,2020,4,50-59,50,59,FALSE,5
Male,discharge,Romania,2020,4,50-59,50,59,TRUE,5
Male,discharge,Romania,2020,4,60-69,60,69,FALSE,4
Male,discharge,Romania,2020,4,60-69,60,69,TRUE,9
Male,discharge,Romania,2020,4,70-79,70,79,FALSE,7
Male,discharge,Romania,2020,4,70-79,70,79,TRUE,3
Male,discharge,Romania,2020,4,80-89,80,89,FALSE,7
Male,discharge,Romania,2020,4,80-89,80,89,TRUE,7
Male,discharge,Romania,2020,4,90+,90,119,FALSE,5
Male,discharge,Romania,2020,4,90+,90,119,TRUE,8
Male,discharge,Romania,2020,5,0-9,0,9,FALSE,4
Male,discharge,Romania,2020,5,0-9,0,9,TRUE,8
Male,discharge,Romania,2020,5,10-19,10,19,FALSE,2
Male,discharge,Romania,2020,5,10-19,10,19,TRUE,4
Male,discharge,Romania,2020,5,20-29,20,29,FALSE,3
Male,discharge,Romania,2020,5,20-29,20,29,TRUE,8
Male,discharge,Romania,2020,5,30-39,30,39,FALSE,7
Male,discharge,Romania,2020,5,30-39,30,39,TRUE,6
Male,discharge,Romania,2020,5,40-49,40,49,FALSE,5
Male,discharge,Romania,2020,5,40-49,40,49,TRUE,2
Male,discharge,Romania,2020,5,50-59,50,59,FALSE,3
Male,discharge,Romania,2020,5,50-59,50,59,TRUE,3
Male,discharge,Romania,2020,5,60-69,60,69,FALSE,3
Male,discharge,Romania,2020,5,60-69,60,69,TRUE,17
Male,discharge,Romania,2020,5,70-79,70,79,FALSE,7
Male,discharge,Romania,2020,5,70-79,70,79,TRUE,6
Male,discharge,Romania,2020,5,80-89,80,89,FALSE,5
Male,discharge,Romania,2020,5,80-89,80,89,TRUE,6
Male,discharge,Romania,2020,5,90+,90,119,FALSE,9
Male,discharge,Romania,2020,5,90+,90,119,TRUE,12
Male,discharge,Romania,2020,6,0-9,0,9,FALSE,2
Male,discharge,Romania,2020,6,0-9,0,9,TRUE,7
Male,discharge,Romania,2020,6,10-19,10,19,FALSE,4
Male,discharge,Romania,2020,6,10-19,10,19,TRUE,3
Male,discharge,Romania,2020,6,20-29,20,29,FALSE,13
Male,discharge,Romania,2020,6,20-29,20,29,TRUE,4
Male,discharge,Romania,2020,6,30-39,30,39,FALSE,4
Male,discharge,Romania,2020,6,30-39,30,39,TRUE,5
Male,discharge,Romania,2020,6,40-49,40,49,FALSE,4
Male,discharge,Romania,2020,6,40-49,40,49,TRUE,6
Male,discharge,Romania,2020,6,50-59,50,59,FALSE,7
Male,discharge,Romania,2020,6,50-59,50,59,TRUE,6
Male,discharge,Romania,2020,6,60-69,60,69,FALSE,4
Male,discharge,Romania,2020,6,60-69,60,69,TRUE,3
Male,discharge,Romania,2020,6,70-79,70,79,FALSE,12
Male,discharge,Romania,2020,6,70-79,70,79,TRUE,4
Male,discharge,Romania,2020,6,80-89,80,89,FALSE,1
Male,discharge,Romania,2020,6,80-89,80,89,TRUE,1
Male,discharge,Romania,2020,6,90+,90,119,FALSE,5
Male,discharge,Romania,2020,6,90+,90,119,TRUE,6
Male,discharge,Romania,2020,7,0-9,0,9,FALSE,5
Male,discharge,Romania,2020,7,0-9,0,9,TRUE,3
Male,discharge,Romania,2020,7,10-19,10,19,FALSE,3
Male,discharge,Romania,2020,7,10-19,10,19,TRUE,1
Male,discharge,Romania,2020,7,20-29,20,29,FALSE,3
Male,discharge,Romania,2020,7,20-29,20,29,TRUE,1
Male,discharge,Romania,2020,7,30-39,30,39,FALSE,1
Male,discharge,Romania,2020,7,30-39,30,39,TRUE,4
Male,discharge,Romania,2020,7,40-49,40,49,FALSE,6
Male,discharge,Romania,2020,7,40-49,40,49,TRUE,2
Male,discharge,Romania,2020,7,50-59,50,59,FALSE,2
Male,discharge,Romania,2020,7,50-59,50,59,TRUE,3
Male,discharge,Romania,2020,7,60-69,60,69,FALSE,3
Male,discharge,Romania,2020,7,60-69,60,69,TRUE,9
Male,discharge,Romania,2020,7,70-79,70,79,FALSE,2
Male,discharge,Romania,2020,7,70-79,70,79,TRUE,5
Male,discharge,Romania,2020,7,80-89,80,89,FALSE,4
Male,discharge,Romania,2020,7,80-89,80,89,TRUE,1
Male,discharge,Romania,2020,7,90+,90,119,FALSE,6
Male,discharge,Romania,2020,7,90+,90,119,TRUE,4
Male,discharge,Romania,2020,8,0-9,0,9,TRUE,2
Male,discharge,Romania,2020,8,20-29,20,29,TRUE,2
Male,discharge,Romania,2020,8,50-59,50,59,TRUE,2
Male,discharge,Romania,2020,8,80-89,80,89,TRUE,1
Male,discharge,Romania,2020,8,90+,90,119,FALSE,1
Male,discharge,Romania,2020,8,90+,90,119,TRUE,2
Male,discharge,Romania,2020,9,30-39,30,39,TRUE,1
Male,discharge,Romania,2020,9,50-59,50,59,FALSE,1
Male,discharge,Romania,2020,9,90+,90,119,FALSE,2
Male,discharge,United States,NA,NA,0-9,0,9,FALSE,3
Male,discharge,United States,NA,NA,0-9,0,9,TRUE,1
Male,discharge,United States,NA,NA,10-19,10,19,FALSE,2
Male,discharge,United States,NA,NA,20-29,20,29,FALSE,1
Male,discharge,United States,NA,NA,30-39,30,39,FALSE,1
Male,discharge,United States,NA,NA,60-69,60,69,FALSE,1
Male,discharge,United States,NA,NA,60-69,60,69,TRUE,1
Male,discharge,United States,NA,NA,70-79,70,79,FALSE,1
Male,discharge,United States,NA,NA,90+,90,119,FALSE,5
